variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit,net_intervention_avoided
all,Treat All,750,0.05,0.14,0.14,0.86,0,0.09473684210526317,0
all,Treat All,750,0.060000000000000005,0.14,0.14,0.86,0,0.08510638297872342,0
all,Treat All,750,0.07,0.14,0.14,0.86,0,0.07526881720430108,0
all,Treat All,750,0.08,0.14,0.14,0.86,0,0.06521739130434784,0
all,Treat All,750,0.09,0.14,0.14,0.86,0,0.05494505494505496,0
all,Treat All,750,0.1,0.14,0.14,0.86,0,0.04444444444444445,0
all,Treat All,750,0.11,0.14,0.14,0.86,0,0.03370786516853934,0
all,Treat All,750,0.12000000000000001,0.14,0.14,0.86,0,0.02272727272727272,0
all,Treat All,750,0.13,0.14,0.14,0.86,0,0.011494252873563232,0
all,Treat All,750,0.14,0.14,0.14,0.86,0,0,0
all,Treat All,750,0.15000000000000002,0.14,0.14,0.86,0,-0.011764705882352955,0
all,Treat All,750,0.16,0.14,0.14,0.86,0,-0.023809523809523808,0
all,Treat All,750,0.16999999999999998,0.14,0.14,0.86,0,-0.03614457831325296,0
all,Treat All,750,0.18,0.14,0.14,0.86,0,-0.04878048780487801,0
all,Treat All,750,0.19,0.14,0.14,0.86,0,-0.061728395061728364,0
all,Treat All,750,0.2,0.14,0.14,0.86,0,-0.07499999999999998,0
all,Treat All,750,0.21000000000000002,0.14,0.14,0.86,0,-0.08860759493670886,0
all,Treat All,750,0.22000000000000003,0.14,0.14,0.86,0,-0.10256410256410259,0
all,Treat All,750,0.22999999999999998,0.14,0.14,0.86,0,-0.11688311688311687,0
all,Treat All,750,0.24,0.14,0.14,0.86,0,-0.13157894736842102,0
all,Treat All,750,0.25,0.14,0.14,0.86,0,-0.1466666666666666,0
all,Treat All,750,0.26,0.14,0.14,0.86,0,-0.16216216216216217,0
all,Treat All,750,0.27,0.14,0.14,0.86,0,-0.1780821917808219,0
all,Treat All,750,0.28,0.14,0.14,0.86,0,-0.19444444444444448,0
all,Treat All,750,0.29,0.14,0.14,0.86,0,-0.2112676056338028,0
all,Treat All,750,0.3,0.14,0.14,0.86,0,-0.2285714285714286,0
all,Treat All,750,0.31,0.14,0.14,0.86,0,-0.24637681159420294,0
all,Treat All,750,0.32,0.14,0.14,0.86,0,-0.2647058823529412,0
all,Treat All,750,0.33,0.14,0.14,0.86,0,-0.28358208955223885,0
all,Treat All,750,0.33999999999999997,0.14,0.14,0.86,0,-0.30303030303030293,0
all,Treat All,750,0.35,0.14,0.14,0.86,0,-0.32307692307692304,0
none,Treat None,750,0.05,0.14,0,0,0,0,-180.00000000000003
none,Treat None,750,0.060000000000000005,0.14,0,0,0,0,-133.33333333333331
none,Treat None,750,0.07,0.14,0,0,0,0,-99.99999999999997
none,Treat None,750,0.08,0.14,0,0,0,0,-75.00000000000001
none,Treat None,750,0.09,0.14,0,0,0,0,-55.55555555555557
none,Treat None,750,0.1,0.14,0,0,0,0,-40
none,Treat None,750,0.11,0.14,0,0,0,0,-27.27272727272728
none,Treat None,750,0.12000000000000001,0.14,0,0,0,0,-16.66666666666666
none,Treat None,750,0.13,0.14,0,0,0,0,-7.692307692307701
none,Treat None,750,0.14,0.14,0,0,0,0,0
none,Treat None,750,0.15000000000000002,0.14,0,0,0,0,6.666666666666673
none,Treat None,750,0.16,0.14,0,0,0,0,12.499999999999998
none,Treat None,750,0.16999999999999998,0.14,0,0,0,0,17.64705882352939
none,Treat None,750,0.18,0.14,0,0,0,0,22.222222222222207
none,Treat None,750,0.19,0.14,0,0,0,0,26.315789473684198
none,Treat None,750,0.2,0.14,0,0,0,0,29.999999999999993
none,Treat None,750,0.21000000000000002,0.14,0,0,0,0,33.33333333333333
none,Treat None,750,0.22000000000000003,0.14,0,0,0,0,36.36363636363637
none,Treat None,750,0.22999999999999998,0.14,0,0,0,0,39.13043478260869
none,Treat None,750,0.24,0.14,0,0,0,0,41.66666666666666
none,Treat None,750,0.25,0.14,0,0,0,0,43.999999999999986
none,Treat None,750,0.26,0.14,0,0,0,0,46.15384615384615
none,Treat None,750,0.27,0.14,0,0,0,0,48.14814814814814
none,Treat None,750,0.28,0.14,0,0,0,0,50
none,Treat None,750,0.29,0.14,0,0,0,0,51.72413793103448
none,Treat None,750,0.3,0.14,0,0,0,0,53.333333333333336
none,Treat None,750,0.31,0.14,0,0,0,0,54.83870967741936
none,Treat None,750,0.32,0.14,0,0,0,0,56.25
none,Treat None,750,0.33,0.14,0,0,0,0,57.57575757575757
none,Treat None,750,0.33999999999999997,0.14,0,0,0,0,58.823529411764696
none,Treat None,750,0.35,0.14,0,0,0,0,60
marker,Marker,750,0.05,0.14,0.14,0.86,0,0.09473684210526317,0
marker,Marker,750,0.060000000000000005,0.14,0.14,0.86,0,0.08510638297872342,0
marker,Marker,750,0.07,0.14,0.132,0.7586666666666666,0,0.07489605734767024,-0.4952380952381106
marker,Marker,750,0.08,0.14,0.11866666666666667,0.608,0,0.06579710144927536,0.6666666666666543
marker,Marker,750,0.09,0.14,0.10933333333333334,0.468,0,0.06304761904761905,8.192592592592579
marker,Marker,750,0.1,0.14,0.10400000000000001,0.37466666666666665,0,0.06237037037037038,16.133333333333336
marker,Marker,750,0.11,0.14,0.09733333333333334,0.3133333333333333,0,0.05860674157303372,20.145454545454548
marker,Marker,750,0.12000000000000001,0.14,0.09200000000000001,0.25733333333333336,0,0.056909090909090916,25.06666666666667
marker,Marker,750,0.13,0.14,0.09066666666666667,0.22666666666666668,0,0.056796934865900386,30.317948717948706
marker,Marker,750,0.14,0.14,0.08933333333333333,0.19733333333333333,0,0.05720930232558139,35.14285714285714
marker,Marker,750,0.15000000000000002,0.14,0.07866666666666668,0.18133333333333332,0,0.04666666666666667,33.111111111111114
marker,Marker,750,0.16,0.14,0.07466666666666667,0.15866666666666668,0,0.044444444444444446,35.833333333333336
marker,Marker,750,0.16999999999999998,0.14,0.072,0.14133333333333334,0,0.04305220883534136,38.66666666666664
marker,Marker,750,0.18,0.14,0.06133333333333334,0.12,0,0.034991869918699195,38.16296296296295
marker,Marker,750,0.19,0.14,0.060000000000000005,0.11066666666666668,0,0.034041152263374494,40.82807017543859
marker,Marker,750,0.2,0.14,0.05466666666666667,0.10266666666666667,0,0.029,41.599999999999994
marker,Marker,750,0.21000000000000002,0.14,0.052000000000000005,0.10133333333333333,0,0.02506329113924051,42.76190476190476
marker,Marker,750,0.22000000000000003,0.14,0.04533333333333334,0.09333333333333332,0,0.01900854700854701,43.1030303030303
marker,Marker,750,0.22999999999999998,0.14,0.04533333333333334,0.08933333333333333,0,0.018649350649350655,45.37391304347827
marker,Marker,750,0.24,0.14,0.04266666666666667,0.07466666666666666,0,0.019087719298245622,47.7111111111111
marker,Marker,750,0.25,0.14,0.038666666666666676,0.068,0,0.016000000000000007,48.79999999999999
marker,Marker,750,0.26,0.14,0.03466666666666667,0.06133333333333333,0,0.013117117117117123,49.88717948717949
marker,Marker,750,0.27,0.14,0.03333333333333333,0.05466666666666666,0,0.013114155251141551,51.693827160493825
marker,Marker,750,0.28,0.14,0.03333333333333333,0.050666666666666665,0,0.013629629629629627,53.5047619047619
marker,Marker,750,0.29,0.14,0.03066666666666667,0.04933333333333333,0,0.010516431924882632,54.298850574712645
marker,Marker,750,0.3,0.14,0.03066666666666667,0.04133333333333333,0,0.012952380952380951,56.35555555555555
marker,Marker,750,0.31,0.14,0.03066666666666667,0.04,0,0.012695652173913042,57.664516129032265
marker,Marker,750,0.32,0.14,0.03066666666666667,0.03866666666666667,0,0.012470588235294115,58.9
marker,Marker,750,0.33,0.14,0.028000000000000004,0.036,0,0.010268656716417912,59.66060606060606
marker,Marker,750,0.33999999999999997,0.14,0.02666666666666667,0.034666666666666665,0,0.008808080808080813,60.53333333333333
marker,Marker,750,0.35,0.14,0.024000000000000004,0.032,0,0.006769230769230774,61.25714285714285
